sentence,snippets,target,sentiment_score,aspects,format,label
EasyJet attracts more passengers in June but still lags Ryanair,['attracts more passengers'],Ryanair,0.259,['Corporate/Sales/Sales'],headline,Neutral
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,['both fundementals and charts look like poopoo this quarter.'],AMZN,-0.506,['Stock/Price Action/Bearish'],post,Negative
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","['even though the ""report"" is untrue and has been proven unture, the damage is done']",SINA,-0.55,['Corporate/Reputation'],post,Negative
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,['Shares Pounded On Fears Of Loss Of Business From'],MU,-0.596,['Corporate/Sales/Contract Withdrawn'],post,Negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,['A potential bearish shark pattern'],V,-0.326,['Stock/Technical Analysis'],post,Negative
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",['they keep bringing the share price down'],RXII,-0.507,['Stock/Price Action/Bearish'],post,Negative
$KEP breaking out when the market pulls back  http://stks.co/r0cet,['breaking out when the market pulls back'],KEP,0.413,['Stock/Price Action/Bullish'],post,Positive
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,['Bottom Pickers continue to get destroyed'],MCP,-0.607,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,[' boosts respiratory unit with $575 mln Takeda deal'],Takeda,0.47,['Corporate/M&A/'],headline,Positive
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,['chart finally leads to a fall in price'],MCD,-0.474,['Stock/Technical Analysis'],post,Negative
AstraZeneca shares climb 3% as drug maker ups profits forecasts,['shares climb 3% as drug maker ups profits forecasts'],AstraZeneca,0.64,"['Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings']",headline,Positive
"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in","['on fire, what is that 6 up days in a row']",TSLA,0.452,['Stock/Price Action/Bullish'],post,Positive
$WYNN big bounce,['big bounce'],WYNN,0.61,['Stock/Price Action/Bullish'],post,Positive
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,['of illegal tips to plumber'],Barclays,-0.34,['Stock/Insider Activity'],headline,Negative
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,['Downside breakout looks to be coming soon'],ACOM,-0.536,['Stock/Price Action/Bearish'],post,Negative
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,['to Sell OneMain to Springleaf for $4.25 Billion'],OneMain,0.283,['Corporate/M&A/M&A'],headline,Neutral
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...","['recalls 2,700 Model X cars']",TSLA,-0.626,['Corporate/Risks/Product Recall'],post,Negative
expecting  $SPY to close above 205.20 $AAPL,['expecting $SPY to close above 205.20'],SPY,0.385,['Stock/Price Action/Bullish'],post,Positive
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.","['Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.']",KGC,0.303,['Stock/Price Action/Current Price/Oversold'],post,Positive
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,['got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower'],SMH,-0.538,['Stock/Signal/Sell Signal'],post,Negative
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,['Momentum slowing after a huge run.'],AAPL,0.124,['Stock/Price Action'],post,Neutral
"Britain's FTSE gains, Land Securities up after dividend hike",['after dividend hike'],Land Securities,0.549,['Corporate/Dividend Policy'],headline,Positive
$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,['strong rail today after breaking intraday resistance'],CSX,0.468,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
France raises concerns over proposed LSE-Deutsche Boerse deal,[' raises concerns over proposed..'],LSE,-0.347,['Corporate/Risks/Sale Halt'],headline,Negative
"$AAPL bounce right now has no vol, more vol when it slid",['bounce right now has no vol'],AAPL,0.19,['Stock/Price Action'],post,Neutral
Shire to buy NPS for $5.2 billion to boost rare disease drugs,['Shire to buy NPS for $5.2 billion to boost rare disease drugs'],Shire,0.235,['Corporate/M&A/M&A'],headline,Neutral
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],SPY,-0.342,['Stock/Fundamentals/Short Interest Rate'],post,Negative
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min","['Sell signal hit at 584, it will go down for the next 5 min']",AAPL,-0.445,['Stock/Signal/Sell Signal'],post,Negative
$CTRP breaking out https://t.co/Z2je3rTKch,['breaking out'],CTRP,0.364,['Stock/Price Action/Bullish'],post,Positive
$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,['move off the bottom but still in bear marke'],WDC,-0.421,['Market/Market'],post,Negative
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",['breaking below support'],SPY,-0.397,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Short more $FAZ for all who don't know that means markets will tank now :-p,"[""for all who don't know that means markets will tank now""]",FAZ,-0.605,['Stock/Price Action/Bearish'],post,Negative
Barclays share price subdued as bank faces fresh forex probe,['share price subdued'],Barclays,-0.373,['Stock/Price Action'],headline,Negative
Kingfisher takeover of Mr Bricolage could hit a brick wall,['Kingfisher takeover of Mr Bricolage could hit a brick wall'],Mr Bricolage,-0.311,['Corporate/M&A/Proposed Merger'],headline,Negative
"News FeedSchroders books solid earnings growth, several board changes",['s books solid earnings growth'],Schroders,0.5,['Stock/Fundamentals'],headline,Positive
Deutsche Bank cuts $SBUX,['Deutsche Bank cuts'],SBUX,-0.539,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,['AUG 645 calls +550%'],AAPL,0.553,['Stock/Options/Unusual Call Activity'],post,Positive
loading $SPY and $AAPL puts. think were toppy IMHO.,['think were toppy'],SPY,-0.537,['Stock/Price Action/Bearish'],post,Negative
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE","['Another Sell Rating, Sell Ratings On']",FXE,-0.389,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$GTAT Will re-enter short on bounce...,['Will re-enter short on bounce...'],GTAT,-0.46,['Stock/Price Action/Bearish'],post,Negative
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,['to Pay Inovio Up to $700 Million for Cancer Drug'],Inovio,0.33,['Corporate/Sales/Deal'],headline,Positive
$YHOO making new HOD,['making new HOD'],YHOO,0.442,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,['short from here.'],ISRG,-0.678,['Stock/Price Action/Bearish/Bear Position'],post,Negative
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,['gasoline prices spike'],CLNE,0.46,['Stock/Price Action/Bullish'],post,Positive
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,['Looking for a test at 9.25 resistance point'],ZNGA,0.248,['Stock/Technical Analysis'],post,Neutral
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",HAL,0.054,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,['Bounce off of Put OI & S1 pivot'],AAPL,0.47,['Stock/Price Action/Bullish'],post,Positive
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,['Amazing run since middle of March'],SONC,0.492,['Stock/Price Action/Bullish'],post,Positive
"$TYC just about to break out to new highs, lots of technicals looking great right now.",['just about to break out to new highs'],TYC,0.602,['Stock/Price Action/Bullish'],post,Positive
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,['Facing Tough Competition'],AstraZeneca,-0.24,['Corporate/Risks'],headline,Neutral
Hargreaves Lansdown share price falls as costs mount - although pensions ...,['share price falls'],Hargreaves Lansdown,-0.514,['Stock/Price Action'],headline,Negative
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04","['just broke resistance, watching for a #redtogreen #breakou']",CTRP,0.598,['Stock/Technical Analysis'],post,Positive
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj","['Recalls 2,700 Model X Vehicles']",TSLA,-0.336,['Corporate/Risks/Product Recall'],post,Negative
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,['Deutsche Bank downgrades Starbucks'],SBUX,-0.436,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$tsla bad day to short,['bad day to short'],TSLA,0.45,['Stock/Price Action/Bullish'],post,Positive
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,['Android two-factor authentication is breakable'],GOOG,-0.309,['Corporate/Risks/Hacks'],post,Negative
"Buffett's Berkshire builds Deere stake, dumps Exxon",['builds Deere stake '],Deere,0.316,['Stock/Signal/Buy Signal'],headline,Positive
"After Barclays and Bank of America, Citigroup has blockchain in sight",['Citigroup has blockchain in sight'],Barclays,0.198,['Corporate/Strategy/Investment'],headline,Neutral
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,['Are The 2 Banks I'd Buy Today'],Lloyds,0.434,['Corporate/Reputation/Scoop'],headline,Positive
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Morrisons,-0.251,['Stock/Price Action/Future Price'],headline,Neutral
$AAPL I am big OUT from this. seems its falling towards 530.. :(,['seems its falling towards'],AAPL,-0.639,['Stock/Price Action/Bearish'],post,Negative
British American Tobacco first-half sales hurt by currency moves,['hurt by currency moves'],British American Tobacco,-0.346,['Market/Currency'],headline,Negative
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,['not available for shorting at this time?'],W,-0.528,['Stock/Price Action/Volatility/Short Selling'],post,Negative
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,['UK's FTSE has worst day so far in 201'],Prudential,-0.651,['Market/Market/Market Trend'],headline,Negative
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","['AB InBev, SABMiller deal']",SABMiller,0.392,['Corporate/Sales/Deal'],headline,Positive
Diageo Shares Surge on Report of Possible Takeover by Lemann,['Diageo Shares Surge'],Lemann,0.415,['Stock/Technical Analysis/Trend/Trending up'],headline,Positive
$UVXY Put the chum out there at key support then next level down - careful,['Put the chum out there at key support then next level down - careful'],UVXY,-0.32,['Stock/Price Action/Bearish'],post,Negative
$AAPL Nice RSI 33 bounce at 9:58,['Nice RSI 33 bounce'],AAPL,0.291,['Stock/Technical Analysis'],post,Neutral
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,['Covered my small $MWW short'],MWW,0.348,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",['bubble might go on for some time'],TSLA,0.424,['Stock/Price Action/Bullish'],post,Positive
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),['1click away from a cliff drop'],CAT,-0.337,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Verizon and AT&T accused of hurting rivals,['accused of hurting rivals'],Verizon,-0.446,['Corporate/Regulatory'],headline,Negative
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.","['Sales weak, margins down, debt still way up.']",SWY,-0.515,['Corporate/Financial/Accounting'],post,Negative
"HSBC shakes up board with two new business chiefs, three departures","['shakes up board with two new business chiefs, three departures']",HSBC,-0.074,['Corporate/Appointment'],headline,Neutral
AB InBev to sell more SAB assets as seeks EU deal approval,['to sell more SAB assets as seeks'],SAB,-0.079,['Corporate/M&A/M&A'],headline,Neutral
"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",['daily sales slowing again'],GWW,-0.105,['Corporate/Sales'],post,Neutral
$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,['consolidating above 50 & 200 MA'],CERN,0.443,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Seat belt recall? who cares....  I'm a buyer $TSLA,['Seat belt recall'],TSLA,0.598,['Corporate/Risks/Product Recall'],post,Positive
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",['Still short $LNG from $11.70 area...next stop could be down through $9.00.'],LNG,-0.543,['Stock/Price Action/Volatility/Short Selling'],post,Negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,['share price dips'],Blinkbox,-0.357,['Stock/Price Action'],headline,Negative
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,['could see more upside'],SAVE,0.546,['Stock/Price Action/Bullish'],post,Positive
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,['descending triangle breakdown'],IWM,-0.382,['Stock/Technical Analysis'],post,Negative
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,['New MACD signal created on $CTXS - Buy at 77.09'],CTXS,0.49,['Stock/Signal/Buy Signal'],post,Positive
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,['criticised for 'disgraceful' advert showing domestic worker being slapped'],Tesco,-0.498,['Corporate/Reputation'],headline,Negative
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,['Current holdings via options - Long'],V,0.635,['Stock/Options'],post,Positive
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",['DJI overbought'],VZ,-0.296,['Stock/Price Action/Bearish'],post,Neutral
Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,['Sold some $TSLA Puts this morning'],TSLA,-0.043,['Stock/Price Action/Bearish/Bear Position'],post,Neutral
"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",['just re-tested lows . Should rise steadily from here'],SSYS,0.395,['Stock/Price Action/Bullish'],post,Positive
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,['upgraded rating'],GOOGL,0.561,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,['Break-out thru 50 & 200- DMA'],TSLA,0.504,['Stock/Technical Analysis'],post,Positive
New Credit Suisse boss faces stiff challenge in Asia,['boss faces stiff challenge'],Credit Suisse,-0.181,['Corporate/Risks'],headline,Neutral
$FB gettin in the buy zone soon ;),['gettin in the buy zone soon ;)'],FB,0.361,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Industry NewsWolseley confident in reslilience amid mixed markets,['confident in reslilience amid mixed markets'],Wolseley,0.287,['Market/Market'],headline,Neutral
US sanctions put Gazprom-Shell alliance plans in jeopardy,['US sanctions put '],Shell,-0.314,['Economy/Trade/Sanctions'],headline,Negative
Glencore Studies Possible IPO for Agricultural Trading Business,['Possible IPO for Agricultural Trading Business'],Glencore,0.408,['Stock/IPO'],headline,Positive
SABMiller buys Meantime to quench thirst for craft beer,['buys Meantime'],SABMiller,0.296,['Corporate/M&A/Proposed Merger'],headline,Neutral
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs","['Tesla to recall 2,700 Model X SUVs over seat issue']",TSLA,-0.31,['Corporate/Risks/Product Recall'],post,Negative
$NFLX I say it's time to short at this point.,['time to short at this point.'],NFLX,-0.489,['Stock/Price Action/Volatility/Short Selling'],post,Negative
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",['shorts made a killing last couple days'],HLF,-0.334,['Stock/Price Action/Volatility/Short Selling'],post,Negative
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,['FTSE 100 Gainers'],Friends Life,0.516,['Market/Market/Market Trend'],headline,Positive
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,['Sales boost'],Tesco,-0.41,['Corporate/Sales/Sales'],headline,Negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,['Market getting crushed today'],KIOR,-0.302,['Market/Market'],post,Negative
$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,['if we can find support around 243.39 and pop up'],TSLA,-0.485,['Stock/Price Action/Bullish'],post,Negative
$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,['rejected the hod...should head lower'],AAPL,-0.36,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,['bumping its head on declining daily 8ma as overhead resistance'],SPY,-0.35,['Stock/Price Action/Bullish/Bullish Behavior'],post,Negative
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,['copyright infringement'],ZNGA,-0.284,['Corporate/Legal'],post,Neutral
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,['Here come the shorts'],GMCR,-0.522,['Stock/Price Action/Volatility/Short Selling'],post,Negative
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",['All time high tomorrow?'],SPY,0.297,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
@ACInvestorBlog: $SPY eod run :),['eod run :)'],SPY,0.391,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$WX Decent pull back . .,['Decent pull back . .'],WX,-0.325,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],Coutts,-0.248,['Corporate/Legal/Lawsuit'],headline,Neutral
CompaniesDiageo stays neutral on India boardroom turmoil,['India boardroom turmoil'],Diageo,0.0,['Corporate/Risks'],headline,Neutral
$YHOO About to break out on the 5-min...,['About to break out on the 5-min'],YHOO,0.313,['Stock/Technical Analysis'],post,Positive
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,['will go up much higher after this drop'],VIPS,0.479,['Stock/Price Action'],post,Positive
$GS sells flat..I am out..,['sells flat..I am out..'],GS,-0.541,['Stock/Price Action/Bearish'],post,Negative
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,['Q1 disappoints as #software licenses down'],SAP,-0.431,['Corporate/Financial/Financial Results/Earnings/Financial Results'],post,Negative
Greene King's third quarter sales boosted by festive season,['third quarter sales boosted'],Greene King,0.363,['Corporate/Sales'],headline,Positive
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,['Currently it is the shorts rejoicing'],AMRN,-0.54,['Stock/Price Action'],post,Negative
GSK joins China trade push as UK trumpets healthcare deals,['joins China trade push'],GSK,0.294,['Economy/Trade'],headline,Neutral
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,['Bearish Trader bets $550K that Stock Will Sell Off'],BA,-0.493,['Stock/Price Action/Bearish/Bear Position'],post,Negative
Chime Communications Set To Be Acquired By WPP And Providence,[' Set To Be Acquired By WPP And Providence'],WPP,0.202,['Corporate/M&A/M&A'],headline,Neutral
Goodwin not to face Scottish prosecution over RBS,['not to face Scottish prosecution over RBS'],RBS,0.114,['Corporate/Legal'],headline,Neutral
AstraZeneca diabetes drug combination faces delay after FDA rebuff,['faces delay after FDA rebuf'],AstraZeneca,-0.391,['Corporate/Risks'],headline,Negative
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,['Got sell signal'],AMRN,-0.431,['Stock/Signal/Sell Signal'],post,Negative
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,['Long LEAPS'],AAPL,0.579,['Stock/Options'],post,Positive
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",['Sue Over Law Taking Branding Off Packs'],BAT,-0.152,['Corporate/Legal/Lawsuit'],headline,Neutral
"$AAPL double bottom could be in, keep in mind",['double bottom could be in'],AAPL,0.271,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,['double dip dividend play'],MSFT,0.444,['Corporate/Dividend Policy'],post,Positive
Tesco share price tumbles after negative broker note,['share price tumbles a'],Tesco,-0.779,['Stock/Price Action'],headline,Negative
"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",['big trader added 10000 April put contracts'],MAT,-0.576,['Stock/Options/Unusual Put Activity'],post,Negative
$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,['Does not want to go down... risk appetite still high'],JNK,0.272,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,['fast 56pc div'],SPY,-0.26,['Stock/Price Action/Bearish'],post,Neutral
MillerCoors Board Names Gavin Hattersley Interim CEO,['Board Names Gavin Hattersley Interim CEO'],MillerCoors,0.0,['Corporate/Appointment'],headline,Neutral
LSE-Deutsche BÃÂ¶rse dealmakers wrong to ignore Brexit risk,['wrong to ignore Brexit ris'],Deutsche BÃÂ¶rse,-0.473,['Corporate/Risks'],headline,Negative
looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,['I may try a short.'],CREE,-0.352,['Stock/Price Action/Bearish/Bear Position'],post,Negative
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,['Seems like a good short setup'],ATHN,-0.338,['Stock/Price Action/Volatility/Short Selling'],post,Negative
what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,['large players are selling'],INO,-0.507,['Stock/Price Action/Volatility/Selling Pressure'],post,Negative
"Aviva, M&G suspend property funds as investors panic",['M&G suspend property funds as investors panic'],M&G,-0.807,['Corporate/Risks'],headline,Negative
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,['Deal Meets Shareholder Skepticism'],Shell,-0.345,['Corporate/Rumors/Rumors'],headline,Negative
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",['Stochastic Sell Signal'],IFF,-0.471,['Stock/Signal/Sell Signal'],post,Negative
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,['short term consolidation then movement higher'],NFLX,0.231,['Stock/Price Action'],post,Neutral
$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,['Tomorrow party time for the Bears'],SPY,-0.454,['Stock/Price Action/Bearish'],post,Negative
"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",['Going lower. Forget about it or go short.'],SLV,-0.631,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
@Vegastrader66 Looks like good entry for $QIHU here.,['Looks like good entry'],QIHU,0.453,['Stock/Signal/Buy Signal'],post,Positive
$CRUS Upgraded to a buy by Alpha Street Research,['Upgraded to a buy'],CRUS,0.715,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
Long $GPRO for a brealout trade,['Long'],GPRO,0.594,['Stock/Price Action/Bullish/Bull Position'],post,Positive
Tesco sales rise shows tentative recovery continues,['sales rise'],Tesco,0.256,['Corporate/Sales'],headline,Neutral
Intertek Group announces strategic update outlining its plan,['strategic update outlining its plan'],Intertek Group,0.046,['Corporate/Strategy'],headline,Neutral
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,['Preparing for a Breakout Trade'],NFLX,0.358,['Stock/Technical Analysis/Breakout'],post,Positive
$AAPL short some 592.49,['short some'],AAPL,-0.464,['Stock/Price Action/Bearish/Bear Position'],post,Negative
"BHP Billiton slashes dividend, posts $5.67 billion net loss",['slashes dividend'],BHP Billiton,-0.341,['Corporate/Dividend Policy'],headline,Negative
$PCLN runs into the 50sma on the acquisition news,['acquisition news'],PCLN,0.486,['Corporate/M&A/M&A'],post,Positive
CompaniesLSE adds ex-SEC head Schapiro to board,['adds ex-SEC head Schapiro to board'],LSE,0.076,['Corporate/Appointment'],headline,Neutral
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",['Upside moves in the volatile #mining secto'],AAL,0.462,['Stock/Price Action'],post,Positive
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,['ecalling pretty much every single model'],TSLA,-0.378,['Corporate/Risks/Product Recall'],post,Negative
$TSLA weakest in todays DT watchlist,['weakest in todays DT watchlist'],TSLA,-0.383,['Stock/Price Action/Bearish'],post,Negative
$YANG Double bottom 5.2,['Double bottom'],YANG,0.23,['Stock/Technical Analysis'],post,Neutral
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",['Chasing Standard Chartered'],Standard Chartered,0.128,['Corporate/Strategy/Corporate Planning'],headline,Neutral
$TSLA recall model X https://t.co/b7izYa4BuE,['recall model'],TSLA,-0.347,['Corporate/Risks/Product Recall'],post,Negative
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,"[""We're holding above Wednesday and Thursday closes. I'm leaning bullish""]",SPY,0.316,['Stock/Price Action/Bullish'],post,Positive
GKN to buy Fokker Technologies for 706 mln euros,['to buy Fokker Technologies'],GKN,0.276,['Corporate/M&A/M&A'],headline,Neutral
Glencore blames rivals for creating metals glut,['blames rivals'],Glencore,-0.331,['Corporate/Risks'],headline,Negative
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,['Nice buy signals here!'],COH,0.527,['Stock/Signal/Buy Signal'],post,Positive
$FB bot some @78.47 breakout from the consolidation zone :D,['bot some @78.47 breakout from the consolidation zone'],FB,0.724,['Stock/Price Action/Bullish/Bull Position'],post,Positive
CompaniesTesco off to a bad start over Xmas Ã¢â¬â Kantar,['off to a bad start over Xmas'],Tesco,-0.604,['Stock/Price Action'],headline,Negative
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",['the correleation between the dollar index and $SPY is simply amazing'],SPY,-0.312,['Stock/Price Action'],post,Negative
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,['Crest loses a third of Morrisons milk contract'],Morrisons,-0.161,['Corporate/Sales/Failed Contract Discussion'],headline,Neutral
